City;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason
Vallejo;Female;No;No;No;22;No;No phone service;DSL;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;50,6;1073,3;No;0;62;2854;
Walnut Creek;Male;No;No;No;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);65,6;4566,5;No;0;75;4369;
Walnut Creek;Male;No;Yes;Yes;33;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);82,1;2603,1;No;0;32;2281;
Yountville;Female;No;No;No;23;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;79,1;1783,75;No;0;75;3619;
Oakland;Male;No;No;No;69;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;90,65;6322,1;No;0;55;6487;
Oakland;Female;No;No;Yes;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);20,55;57,4;No;0;69;2774;
Oakland;Male;No;No;No;56;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);75,75;4284,65;No;0;56;6487;
Oakland;Male;No;No;No;65;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);110;7138,65;No;0;78;6351;
Emeryville;Male;No;Yes;No;71;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;20,85;1539,75;No;0;67;4837;
Oakland;Female;Yes;No;No;14;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);80,35;1058,1;No;0;39;3276;
Oakland;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,15;123,8;No;0;75;4840;
Oakland;Male;No;No;No;40;Yes;No;DSL;Yes;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;67,45;2731;No;0;55;4714;
Oakland;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20,75;20,75;No;0;76;2791;
Oakland;Female;No;No;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;69,9;497,3;No;0;80;4562;
Berkeley;Female;No;Yes;No;15;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;51,1;711,15;No;0;33;4858;
Berkeley;Male;No;No;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);25,55;1898,1;No;0;27;6305;
Albany;Female;No;Yes;Yes;54;Yes;Yes;DSL;Yes;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);60;3273,95;No;0;52;4798;
Berkeley;Male;No;Yes;No;31;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);90,55;2929,75;No;0;48;5722;
Berkeley;Female;No;No;No;11;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;76,4;838,7;No;0;41;4033;
Berkeley;Female;Yes;No;No;18;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;84,95;1443,65;No;0;74;3878;
Berkeley;Female;Yes;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110,1;7746,7;No;0;57;5232;
Richmond;Female;Yes;No;No;71;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,65;6951,15;No;0;77;4241;
El Sobrante;Male;Yes;No;No;5;No;No phone service;DSL;No;No;Yes;Yes;Yes;No;Month-to-month;No;Credit card (automatic);45,4;214,75;No;0;68;2599;
Richmond;Male;No;Yes;No;38;Yes;Yes;DSL;No;No;Yes;Yes;No;Yes;One year;No;Credit card (automatic);69;2669,45;No;0;23;4487;
Richmond;Male;No;No;Yes;5;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);48,65;235,2;No;0;68;3307;
San Rafael;Female;Yes;No;No;52;Yes;Yes;DSL;Yes;No;Yes;No;No;No;Two year;No;Bank transfer (automatic);59,85;3103,25;No;0;71;5085;
Greenbrae;Female;No;No;No;68;Yes;Yes;DSL;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;80,65;5330,2;No;0;70;5914;
Belvedere Tiburon;Male;No;Yes;Yes;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);20,55;1403,1;No;0;32;5366;
Bodega;Female;No;Yes;No;42;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);66,4;2727,8;No;0;38;3773;
Bodega Bay;Female;No;No;No;50;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Mailed check;100,2;5038,45;No;0;53;5419;
Rohnert Park;Male;No;Yes;No;33;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44,55;1462,6;No;0;28;2422;
Dillon Beach;Female;No;No;No;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,35;150,6;No;0;52;3098;
Fairfax;Male;No;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;91,8;5960,5;No;0;37;5371;
Forest Knolls;Male;No;No;No;59;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20,2;1192,3;No;0;65;5216;
Inverness;Female;No;Yes;No;6;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;50,35;314,55;No;0;74;3442;
Lagunitas;Female;No;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;18,8;56;No;0;67;3010;
Larkspur;Female;No;Yes;No;15;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20,45;330,8;No;0;78;5184;
Marshall;Male;No;Yes;Yes;13;Yes;No;DSL;No;No;No;No;Yes;Yes;One year;Yes;Electronic check;64,75;877,35;No;0;73;4741;
Mill Valley;Female;No;No;No;23;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);98,7;2249,1;No;0;71;5781;
Novato;Male;Yes;Yes;No;31;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;No;Electronic check;89,45;2807,65;No;0;68;5597;
Nicasio;Male;No;No;No;29;Yes;No;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Electronic check;58,75;1696,2;No;0;80;5198;
Novato;Female;No;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20,7;1032,05;No;0;50;4074;
Novato;Female;No;Yes;No;56;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);85,6;4902,8;No;0;20;6483;
Olema;Female;No;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Credit card (automatic);80,3;4995,35;No;0;74;5554;
Penngrove;Male;No;Yes;No;63;Yes;Yes;DSL;No;No;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);79,8;5034,05;No;0;52;4073;
Petaluma;Male;Yes;Yes;Yes;24;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;79,85;1857,75;No;0;36;3412;
Petaluma;Male;Yes;Yes;No;36;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;No;Credit card (automatic);54,1;1992,85;No;0;48;4017;
San Geronimo;Female;No;Yes;No;21;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;80,9;1714,95;No;0;36;5733;
San Quentin;Male;No;Yes;Yes;13;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);24,5;343,6;No;0;59;5077;
Sausalito;Male;No;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);20,15;20,15;No;0;40;3960;
Stinson Beach;Female;No;Yes;Yes;25;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,05;520,1;No;0;60;2010;
Tomales;Male;No;Yes;Yes;71;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);19,6;1387,45;No;0;56;6444;
Valley Ford;Male;No;No;No;66;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);114,3;7383,7;No;0;52;5303;
Woodacre;Female;No;No;No;45;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;100,3;4483,95;No;0;64;4868;
Alviso;Female;No;Yes;No;22;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);80;1706,45;No;0;80;2640;
Aptos;Female;No;Yes;No;67;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);20,85;1327,4;No;0;71;5972;
Aromas;Female;No;Yes;No;68;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);89,95;5974,3;No;0;64;5672;
Ben Lomond;Female;No;Yes;Yes;0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20; ;No;0;27;3763;
Brookdale;Female;Yes;No;No;4;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;48,75;179,85;No;0;25;3048;
Campbell;Male;No;Yes;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;No;Credit card (automatic);80;5040,2;No;0;56;5540;
Castroville;Male;No;No;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20,35;422,7;No;0;40;3721;
Davenport;Male;No;No;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,25;20,25;No;0;48;2448;
Felton;Female;No;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,4;358,05;No;0;44;3561;
Freedom;Male;No;No;No;30;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);100,4;2936,25;No;0;37;3778;
Gilroy;Male;No;Yes;Yes;22;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;57,95;1271,8;No;0;41;5036;
Hollister;Female;No;No;No;9;Yes;No;DSL;No;No;No;Yes;Yes;No;Month-to-month;Yes;Bank transfer (automatic);59,5;530,05;No;0;53;4011;
Los Gatos;Male;No;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,2;19,2;No;0;46;3007;
Los Gatos;Male;No;No;No;19;Yes;Yes;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;59,55;1144,6;No;0;39;3949;
Moss Landing;Female;No;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);103,95;7556,9;No;0;56;5096;
Mount Hermon;Male;No;Yes;Yes;70;Yes;Yes;DSL;Yes;No;Yes;No;Yes;No;Two year;No;Credit card (automatic);68,95;4858,7;No;0;60;4858;
Paicines;Female;No;No;No;66;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);103,1;6595;No;0;46;6183;
San Juan Bautista;Female;No;Yes;Yes;7;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24,7;149,05;No;0;52;3872;
San Martin;Female;Yes;Yes;Yes;46;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;110,2;4972,1;No;0;55;4162;
Santa Clara;Female;No;Yes;Yes;32;Yes;Yes;DSL;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);62,45;2045,55;No;0;74;5442;
Santa Clara;Male;No;No;No;24;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;89,55;2187,15;No;0;41;2007;
Santa Cruz;Female;No;No;No;37;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);78,9;2976,95;No;0;64;3801;
Santa Cruz;Male;No;No;Yes;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,35;178,7;No;0;42;4577;
Santa Cruz;Female;No;Yes;Yes;72;Yes;Yes;DSL;Yes;No;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);71,45;5025,85;No;0;30;5656;
Scotts Valley;Male;Yes;Yes;No;71;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Credit card (automatic);46,35;3353,4;No;0;28;5421;
Saratoga;Female;No;Yes;No;16;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);94,65;1461,15;No;0;36;3050;
Soquel;Female;No;Yes;No;57;No;No phone service;DSL;Yes;No;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);49,9;2782,4;No;0;68;5866;
Watsonville;Male;No;No;No;66;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);25,45;1699,15;No;0;48;4163;
San Jose;Female;No;No;Yes;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,75;452,2;No;0;39;2143;
San Jose;Male;No;Yes;No;66;Yes;Yes;DSL;Yes;Yes;Yes;No;No;No;Two year;Yes;Credit card (automatic);66,1;4428,45;No;0;73;5933;
San Jose;Female;No;Yes;No;17;Yes;Yes;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);75,4;1322,55;No;0;64;4852;
San Jose;Female;No;Yes;Yes;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);21,05;139,75;No;0;78;2158;
San Jose;Male;No;No;No;27;Yes;No;DSL;Yes;No;Yes;Yes;Yes;No;One year;No;Credit card (automatic);69,35;1927,3;No;0;60;2450;
San Jose;Male;No;Yes;No;34;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Mailed check;88,85;3000,25;No;0;70;4014;
San Jose;Male;No;No;No;30;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;One year;Yes;Bank transfer (automatic);97;3021,3;No;0;23;4126;
San Jose;Male;No;No;No;33;Yes;No;DSL;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);66,4;2245,4;No;0;69;3843;
San Jose;Male;No;Yes;Yes;14;Yes;Yes;DSL;Yes;Yes;No;No;No;Yes;Month-to-month;No;Mailed check;69,2;944,65;No;0;24;2871;
San Jose;Female;No;No;Yes;16;Yes;Yes;Fiber optic;No;No;No;Yes;No;No;One year;Yes;Credit card (automatic);79,5;1264,2;No;0;64;5040;
San Jose;Female;No;No;No;49;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);100,65;4917,75;No;0;52;5499;
San Jose;Female;No;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Bank transfer (automatic);79,7;5743,3;No;0;41;4848;
San Jose;Female;No;Yes;Yes;32;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);61,4;1864,65;No;0;51;2649;
San Jose;Female;No;No;No;18;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,8;1221,65;No;0;68;2421;
San Jose;Male;No;No;No;37;No;No phone service;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Mailed check;40,55;1390,85;No;0;24;4050;
San Jose;Female;No;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;75,65;302,35;No;0;31;5396;
San Jose;Female;No;Yes;No;16;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;No;Electronic check;90,7;1374,9;No;0;73;4839;
San Jose;Male;No;Yes;No;17;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);80,5;1336,9;No;0;76;3591;
San Jose;Female;No;No;Yes;19;Yes;No;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;60,6;1297,8;No;0;33;2463;
San Jose;Male;No;Yes;No;60;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Two year;No;Credit card (automatic);101,15;6067,4;No;0;35;5301;
San Jose;Male;No;Yes;Yes;51;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;24,95;1222,25;No;0;37;5461;
San Jose;Male;No;Yes;Yes;28;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);20,3;487,95;No;0;73;2948;
Mount Hamilton;Male;No;No;No;43;Yes;No;DSL;No;Yes;No;No;No;Yes;Two year;Yes;Electronic check;60;2548,55;No;0;73;4614;
San Jose;Male;No;Yes;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;20,25;835,5;No;0;61;5940;
Stockton;Female;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;44,75;44,75;No;0;30;4118;
Stockton;Female;No;No;No;63;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;No;Credit card (automatic);98;6218,45;No;0;75;5989;
Stockton;Male;No;Yes;No;68;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;107,7;7320,9;No;0;53;5015;
Stockton;Female;No;No;No;60;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;No;Electronic check;104,7;6333,8;No;0;75;6186;
Stockton;Male;Yes;No;No;45;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);93,9;4200,25;No;0;58;3960;
Stockton;Female;No;Yes;No;70;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);86,45;5950,2;No;0;54;5950;
Angels Camp;Male;No;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,4;93,4;No;0;54;4402;
Avery;Female;No;Yes;No;68;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);24,95;1614,9;No;0;72;6146;
Burson;Male;No;Yes;Yes;22;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);75;1573,95;No;0;48;4040;
Copperopolis;Male;No;Yes;No;18;Yes;No;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;78,2;1468,75;No;0;79;2831;
Farmington;Male;No;No;No;29;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;94,2;2607,6;No;0;60;4561;
Linden;Male;No;No;No;31;No;No phone service;DSL;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;50,05;1523,4;No;0;35;4529;
Lodi;Female;No;Yes;No;48;Yes;Yes;DSL;No;No;Yes;Yes;No;Yes;One year;Yes;Mailed check;69,55;3435,6;No;0;75;2478;
Mokelumne Hill;Male;No;No;No;50;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;No;No;One year;Yes;Credit card (automatic);90,1;4549,45;No;0;25;6435;
Mountain Ranch;Male;No;No;No;7;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);44,65;322,5;No;0;65;4300;
San Andreas;Male;No;Yes;Yes;68;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Two year;No;Credit card (automatic);80,35;5375,15;No;0;33;5954;
Sheep Ranch;Female;Yes;Yes;No;26;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);98,1;2510,7;No;0;38;3114;
Vallecito;Male;No;No;No;57;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);53,35;3090,05;No;0;42;5461;
Valley Springs;Female;No;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19,55;61,05;No;0;46;3889;
West Point;Male;No;Yes;Yes;19;Yes;No;DSL;Yes;No;No;No;No;No;One year;Yes;Bank transfer (automatic);48,95;955,6;No;0;35;2394;
Wilseyville;Female;No;No;No;3;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;54,2;140,4;No;0;68;3167;
Woodbridge;Female;No;No;No;59;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;24,45;1493,1;No;0;26;6196;
Ballico;Male;No;Yes;No;42;No;No phone service;DSL;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);40,15;1626,05;No;0;68;4348;
Catheys Valley;Male;No;Yes;No;67;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,6;1784,9;No;0;38;4879;
Ceres;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,35;70,35;No;0;32;2722;
Columbia;Male;No;Yes;No;66;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);91,7;6075,9;No;0;39;5453;
Coulterville;Female;No;No;No;61;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Mailed check;89,2;5500,6;No;0;23;5536;
Cressey;Male;No;Yes;Yes;4;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);24,1;73,1;No;0;21;4463;
Delhi;Female;No;Yes;Yes;64;Yes;Yes;DSL;No;Yes;No;No;No;No;One year;Yes;Bank transfer (automatic);53,85;3399,85;No;0;36;4954;
Denair;Female;Yes;Yes;No;54;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);115,6;6431,05;No;0;45;4337;
El Nido;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);19,75;19,75;No;0;33;5809;
El Portal;Male;No;Yes;Yes;54;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24,05;1230,9;No;0;41;4039;
Escalon;Female;No;No;Yes;18;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,3;454,65;No;0;78;3416;
Groveland;Male;No;No;No;3;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Electronic check;84,3;235,05;No;0;43;5828;
Hickman;Female;No;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);89,75;6595,9;No;0;60;5096;
Hilmar;Male;Yes;Yes;No;60;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;97,95;5867;No;0;29;6150;
Hornitos;Female;No;Yes;Yes;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20;196,35;No;0;72;5837;
Jamestown;Male;No;Yes;Yes;61;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);103,9;6449,15;No;0;28;4079;
Keyes;Female;No;No;No;39;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,7;762,45;No;0;45;3733;
Le Grand;Male;No;No;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20,15;785,75;No;0;65;4422;
Livingston;Female;No;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;26;1776;No;0;20;5374;
Long Barn;Male;Yes;Yes;No;72;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;No;Two year;No;Credit card (automatic);77,35;5396,25;No;0;29;6202;
Manteca;Female;No;No;No;8;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Bank transfer (automatic);66,05;574,5;No;0;59;4157;
Manteca;Female;No;Yes;Yes;22;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,9;400,3;No;0;43;5657;
Merced;Female;No;No;No;38;Yes;Yes;DSL;No;Yes;No;Yes;No;Yes;Month-to-month;No;Credit card (automatic);68,15;2656,3;No;0;66;3371;
Midpines;Male;No;No;Yes;17;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Electronic check;80,85;1445,95;No;0;24;3913;
Mi Wuk Village;Female;Yes;No;No;70;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);75,5;5212,65;No;0;62;6024;
Modesto;Female;No;No;No;28;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;80,6;2244,95;No;0;70;2951;
Modesto;Female;No;No;No;15;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);83,2;1130;No;0;36;4096;
Modesto;Male;No;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);87,55;6463,15;No;0;43;5341;
Modesto;Female;No;Yes;No;57;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);109,4;6252,7;No;0;65;6026;
Newman;Female;No;Yes;No;46;No;No phone service;DSL;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;45,55;2062,15;No;0;27;5565;
Oakdale;Male;No;Yes;No;30;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20,7;587,1;No;0;78;2492;
Patterson;Male;Yes;Yes;No;10;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75,3;720,45;No;0;41;4254;
